Batch ID,Brand,Calculated Weight (Grams),Category,Cost per Gram,Cost per Item,Created On,Current Date,Current Quantity,Days Until Expires,Expiration Date,Initial Quantity,Last Audit Date,Location,Package ID,Price,Price Profile,Product Name,Product Type,Room,SKU,Source License,Strain Name,Supplier Name,Total Cost,Total Price,Unit of Measure,Weight Unit,insert_datetime,img_url,product_description
None,Warren\s Cannabis Creations,None,Edible,None,2.0,07/16/2021,10/27/2021,0.0,262.0,07/16/2022,50,10/20/2021,Maple Valley Pharms,None,5.0,None,50mg Blueberry Lollipop,50mg Lollipop,Sales Floor,NhGM3Hxaih,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Warren\s Cannabis Creations,0.0,Concentrate,None,22.0,10/08/2021,10/27/2021,0.0,346.0,10/08/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Watermelon Cartridge 1g,Cartridge,Sales Floor,ifm8sR2C3w,None,Watermelon,Warren\s Cannabis Creations,0.0,0.0,Each,None,None,None,None
None,Glass Jar Company,0.0,Flower - Prepackaged,None,26.18,10/08/2021,10/27/2021,0.0,None,None,12,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Sativa Dominant,Sales Floor,zsDLjQ5pbz,None,Pineapple Mimosa,Glass Jar Company LLC,0.0,None,Grams,Quarters,None,None,None
None,Iron Lung,0.0,Concentrate,None,12.5,09/21/2021,10/27/2021,0.0,323.0,09/15/2022,25,10/20/2021,Maple Valley Pharms,None,25.0,None,Lemon G x Orange Mints 1g Shatter,Shatter,Sales Floor,HxNag6BeCL,None,None,Iron Lung,0.0,0.0,Each,None,None,None,None
None,Kine Folks,0.0,Flower - Prepackaged,None,27.65,10/11/2021,10/27/2021,0.0,None,None,6,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Indica Dominant,Sales Floor,ZqAaMouGyL,None,Peyote Critical,Kine Folks,0.0,None,Grams,Quarters,None,None,None
None,Maple Valley Pharms,None,Edible,None,4.0,10/19/2021,10/27/2021,0.0,2.0,10/29/2021,12,10/20/2021,Maple Valley Pharms,None,15.0,None,150mg Chocolate Chip Cookies,150mg Cookie,Sales Floor,dQN9MyW8SJ,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Lodestar Cannabis,0.0,Flower - Prepackaged,None,20.3,10/04/2021,10/27/2021,0.0,None,None,32,10/20/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,yFLEPwGtd2,None,Gorilla Glue #5,Lodestar Cannabis,0.0,None,Grams,Eighths,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/11/2021,10/27/2021,0.0,175.0,04/20/2022,24,10/11/2021,Maple Valley Pharms,None,15.0,None,100mg Snozzberry Gummies,Gummies,Sales Floor,xHuYJKg3WP,None,None,Edible Vendor,0.0,0.0,None,None,None,None,None
None,Snowblind Cannabis,0.0,Concentrate,None,12.5,10/22/2021,10/27/2021,0.0,336.0,09/28/2022,12,10/22/2021,Maple Valley Pharms,None,35.0,None,Blissful Wizard 1g Live Badder,Badder,Sales Floor,C6MkPc4YnG,None,None,Snowblind Cannabis,0.0,0.0,Each,None,None,None,None
None,Warren\s Cannabis Creations,0.0,Concentrate,None,22.0,10/22/2021,10/27/2021,0.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,50.0,None,Watermelon Cartridge 1g,Cartridge,Sales Floor,vRSm57ZWhd,None,Watermelon,Warren\s Cannabis Creations,0.0,0.0,Each,None,None,None,None
None,Bloom,None,Accessory,None,25.0,04/26/2021,10/27/2021,1.0,None,None,25,05/09/2021,Maple Valley Pharms,None,50.0,None,500mg Freeze Roller 90mL,500mg CBD Topical,Display,vNXbsrJPZ8,None,None,Bloom,25.0,50.0,None,None,None,None,None
None,LifePatent,None,Accessory,None,10.0,07/09/2020,10/27/2021,1.0,None,None,40,05/09/2021,Maple Valley Pharms,None,29.99,None,200mg Targeted Support LPRelief Roller,200mg CBD Topical,Display,\66258084,None,None,LifePatent,10.0,29.99,None,None,None,None,None
None,Northwoods Wellness,None,Accessory,None,1.0,04/27/2021,10/27/2021,1.0,None,None,29,05/21/2021,Maple Valley Pharms,None,35.0,None,NWW Snapback,Hat,Display,9x4x6N5CHS,None,None,Northwoods Wellness,1.0,35.0,None,None,None,None,None
None,Best Friend Farms,None,Accessory,None,12.0,04/15/2021,10/27/2021,1.0,None,None,15,05/21/2021,Maple Valley Pharms,None,20.0,None,Orange BFF Beanie,Beanie,Display,uEdFbRWfnm,None,None,Best Friend Farms,12.0,20.0,None,None,None,None,None
